drug,n_test,seeds,coverage,bal_acc,recall_R,recall_S,f1_R,auroc,pr_auc,brier_raw,brier_cal,no_call
Ceftriaxone,83,8,91.588±11.080,0.915±0.022,0.937±0.018,0.895±0.045,0.924±0.017,0.921±0.022,0.918±0.030,0.118±0.007,0.086±0.011,8.412±11.080
Ciprofloxacin,95,8,70.688±8.243,0.918±0.087,0.889±0.162,0.948±0.030,0.887±0.118,0.947±0.022,0.919±0.036,0.148±0.009,0.104±0.026,29.312±8.243
Gentamicin,100,8,86.400±11.029,0.892±0.026,0.967±0.018,0.816±0.055,0.867±0.022,0.910±0.014,0.826±0.019,0.138±0.009,0.120±0.024,13.600±11.029
Meropenem,78,8,97.125±0.842,0.541±0.053,0.081±0.106,1.000±0.000,0.133±0.173,0.701±0.066,0.558±0.061,0.144±0.010,0.106±0.012,2.875±0.842
