Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.7727","Escherichia coli strain 200439_aEPEC","trimethoprim","Resistant",">=16",">=","16","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.7750","Escherichia coli strain 400998_aEPEC","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.42744","Escherichia coli strain 472","trimethoprim/sulfamethoxazole","Resistant","16/304",">=","16/304","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.7754","Escherichia coli strain 402227_aEPEC","trimethoprim/sulfamethoxazole","Resistant",">=320",">=","320","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.99135","Escherichia coli 8fd9a4a4-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.30306","Escherichia coli strain KCJ9489","sulfamethoxazole/trimethoprim","Resistant",,,,,"Disk diffusion",,,,"CLSI",2015,,,,"Laboratory Method",,"31053578"
562,"562.42757","Escherichia coli strain 85","trimethoprim/sulfamethoxazole","Resistant","16/304",">=","16/304","mg/L","Broth dilution",,,"BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.98400","Escherichia coli 1800f8f6-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.100686","Escherichia coli a13262dc-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.97939","Escherichia coli b506a642-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.57380","Escherichia coli strain PB420","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.73365","Escherichia coli strain BB1422","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST, CLSI",2019,,,,"Laboratory Method",,"33846529"
562,"562.22583","Escherichia coli O15:H12 strain ECO0158","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.98711","Escherichia coli a9f60806-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.57286","Escherichia coli strain 24742_1#233","trimethoprim","Resistant",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.42808","Escherichia coli strain M49","trimethoprim/sulfamethoxazole","Resistant","16/304",">=","16/304","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.100531","Escherichia coli cbf2411c-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.7734","Escherichia coli strain R302583-2A","trimethoprim/sulfamethoxazole","Resistant",">=320",">=","320","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.99948","Escherichia coli 630641da-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.37112","Escherichia coli strain KCRI-82 strain RDK43_82","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"CLSI",2013,,,,"Laboratory Method",,"29977533"
562,"562.42713","Escherichia coli strain 317","trimethoprim/sulfamethoxazole","Resistant","16/304",">=","16/304","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.98640","Escherichia coli 83a084e2-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.99471","Escherichia coli a208d69a-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.59226","Escherichia coli strain PBIO1946","trimethoprim/sulfamethoxazole","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",2008,,,,"Laboratory Method",,"32066506"
562,"562.7734","Escherichia coli strain R302583-2A","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.7784","Escherichia coli strain 703108","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.42775","Escherichia coli strain M20","trimethoprim/sulfamethoxazole","Resistant","16/304",">=","16/304","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.98742","Escherichia coli b7174b70-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
