drug,n_test,seeds,coverage,bal_acc,recall_R,recall_S,f1_R,auroc,pr_auc,brier_raw,brier_cal,no_call
Ampicillin,375,8,91.463±1.425,0.930±0.010,0.923±0.015,0.939±0.015,0.940±0.008,0.947±0.008,0.961±0.006,0.084±0.005,0.074±0.006,8.537±1.425
Ciprofloxacin,384,8,84.362±2.504,0.853±0.011,0.760±0.030,0.946±0.010,0.768±0.011,0.908±0.004,0.773±0.017,0.116±0.006,0.102±0.003,15.637±2.504
Trimethoprim,174,8,85.062±1.641,0.915±0.019,0.881±0.037,0.948±0.006,0.901±0.022,0.935±0.007,0.904±0.017,0.094±0.007,0.096±0.010,14.938±1.641
