drug,n_test,seeds,coverage,coverage_n,bal_acc,bal_acc_n,recall_R,recall_R_n,recall_S,recall_S_n,f1_R,f1_R_n,auroc,auroc_n,pr_auc,pr_auc_n,brier_raw,brier_raw_n,brier_cal,brier_cal_n,no_call,no_call_n
Ampicillin,9,8,55.575±22.920,8,1.000±0.000,7,1.000±0.000,7,1.000±0.000,7,1.000±0.000,7,1.000±0.000,8,1.000±0.000,8,0.152±0.021,8,0.090±0.022,8,44.425±22.920,8
Ciprofloxacin,11,8,92.038±7.104,8,0.896±0.108,8,0.792±0.216,8,1.000±0.000,8,0.867±0.141,8,0.865±0.138,8,0.887±0.114,8,0.151±0.029,8,0.066±0.039,8,7.962±7.104,8
Trimethoprim,10,8,73.750±13.170,8,0.911±0.094,8,0.823±0.188,8,1.000±0.000,8,0.890±0.120,8,0.961±0.054,8,0.955±0.058,8,0.176±0.005,8,0.095±0.017,8,26.250±13.170,8
